,id,perc_syn,method,sampling,map,map50,prediction,recall,fitness,precision,set,Unnamed: 0
0,a6wcrgnh,875,controlnet_segmentation,confidence,0.37472903085064724,0.7181597870644758,,0.6717028332016227,,0.750473323039596,train,
1,tcqy58ck,750,controlnet_segmentation,confidence,0.35558647820132655,0.6963884730232189,,0.670946402958514,,0.7056035015716426,train,
2,1ovbz6pn,625,controlnet_segmentation,confidence,0.3579537696663727,0.6978353668000189,,0.6525654666666667,,0.7414150359680332,train,
3,ktf5x7qy,500,controlnet_segmentation,confidence,0.3908255508827191,0.7285626056686736,,0.6917460463574686,,0.7467673305537701,train,
4,680ixcpc,375,controlnet_segmentation,confidence,0.40628060075644595,0.7425305928962548,,0.6639268,,0.7834847114112948,train,
5,bd7wcx2f,250,controlnet_segmentation,confidence,0.47139766269944117,0.7817696173625578,,0.7146658000000001,,0.774266540404549,train,
6,3f7w06yi,1500,crucible_mediapipe_face,random,0.28460503899486717,0.6466017686350557,,0.5951738,,0.6720867680982237,train,
7,3m4n8jne,1500,lllyasviel_canny,random,0.529139597051225,0.8430837892696019,,0.7662335333333332,,0.8505204638524048,train,
8,asqoczmz,1500,lllyasviel_openpose,random,0.49860090237724075,0.8501768253031975,,0.7976950281837393,,0.8158527848324968,train,
9,wdxe7jbl,750,real-large_dataset,baseline,0.6094789651135856,0.8922300116197287,,0.8250719757383399,,0.8670412205195903,train,
10,o4x7rdx9,625,real-large_dataset,baseline,0.5659220034454657,0.8536987500732097,,0.7876392464855662,,0.8460007867938599,train,
11,rlijs8c5,500,real-large_dataset,baseline,0.48663425922379266,0.8048376231523968,,0.7440370666666667,,0.8020391591121063,train,
12,ztpjphay,500,real-large_dataset,baseline,0.48663425922379266,0.8048376231523968,,0.7440370666666667,,0.8020391591121063,train,
13,ghsg8q50,625,real-large_dataset,baseline,0.5659220034454657,0.8536987500732097,,0.7876392464855662,,0.8460007867938599,train,
14,cno58cio,500,real-large_dataset,baseline,0.4866342592237926,0.8048376231523968,,0.7440370666666667,,0.8020391591121063,train,0.0
15,k74xgjyn,750,real-large_dataset,baseline,0.6632981744481761,0.9245419889416184,,0.8616429333333335,,0.885592713732694,train,1.0
16,jxi3skgx,625,real-large_dataset,baseline,0.6316760520494268,0.8985101272917838,,0.8441806000000001,,0.8512611953146464,train,2.0
17,bahql5wc,500,real-large_dataset,baseline,0.5951334820862231,0.8866207386392781,,0.8035637626737849,,0.8655109459280655,train,3.0
18,hi7717fg,375,real-large_dataset,baseline,0.5275331591336986,0.8376581528746806,,0.7659552,,0.8175592753081447,train,4.0
19,bez0jctd,250,real-large_dataset,baseline,0.4713976626994411,0.7817696173625578,,0.7146658000000001,,0.774266540404549,train,5.0
20,4ovd1g4k,875,crucible_mediapipe_face,coreset,0.3472898485722575,0.6734636150612703,,0.6108048,,0.7079574390098418,train,6.0
21,wvjo4jm5,875,lllyasviel_openpose,coreset,0.4975150912376948,0.8354367806730891,,0.7754641999999999,,0.8161719999315404,train,7.0
22,nvyh9ubu,875,lllyasviel_canny,coreset,0.5373850031471564,0.8453781170247949,,0.7587652,,0.8613137381722626,train,8.0
23,anyy8vgs,750,crucible_mediapipe_face,coreset,0.3583415270884497,0.6882798978412814,,0.6224801333333334,,0.7338375295053926,train,9.0
24,7r3ewiyu,750,lllyasviel_openpose,coreset,0.5071265293027046,0.8473552537667838,,0.7858965333333334,,0.8356420694925726,train,10.0
25,e3lvmjpg,750,lllyasviel_canny,coreset,0.5175035152666236,0.8297533133006126,,0.7545043241908576,,0.8273047840641459,train,11.0
26,01ugma32,625,crucible_mediapipe_face,coreset,0.341115474572798,0.6532167924309839,,0.6054506666666667,,0.6864988208988104,train,12.0
27,5p6fxvx0,625,lllyasviel_openpose,coreset,0.485268306623848,0.8360442102231854,,0.7741391661661662,,0.8081598140262806,train,13.0
28,vm9z0w8p,625,lllyasviel_canny,coreset,0.5463126295763218,0.8306273930737014,,0.7400951333333333,,0.8331708890295804,train,14.0
29,vrwnuvxa,500,crucible_mediapipe_face,coreset,0.3974512462701849,0.7195612777599001,,0.6365806666666667,,0.7730123803058597,train,15.0
30,9vpbqnlu,500,lllyasviel_canny,coreset,0.5061297135864766,0.8188177827781794,,0.7392590666666666,,0.8278256099277637,train,16.0
31,grc53ate,500,lllyasviel_openpose,coreset,0.4831676242571232,0.8256838699820925,,0.7657544594098372,,0.8004822532668712,train,17.0
32,d99948nz,375,lllyasviel_canny,coreset,0.492967844540539,0.8032735081903801,,0.7232563999999999,,0.8097718741344199,train,18.0
33,3ad5jvec,375,crucible_mediapipe_face,coreset,0.4184233947504965,0.7430409437225066,,0.6744126666666668,,0.7879016557545007,train,19.0
34,bry1k0n5,375,lllyasviel_openpose,coreset,0.4890750542954372,0.8354196273828834,,0.7684092000000001,,0.8211642651021436,train,20.0
35,smu8otuu,250,real-large_dataset,baseline,0.4713976626994411,0.7817696173625578,,0.7146658000000001,,0.774266540404549,train,21.0
36,nk7xokrk,500,controlnet_segmentation,random,0.4034303186442565,0.7153405723175205,,0.6871207643724532,,0.7537171849665281,train,22.0
37,rkfdztyy,875,real-small_dataset,baseline_2,0.5030234590125526,0.7954572987916795,,0.7050882580976038,,0.8160845608425272,train,23.0
38,8872k1pi,625,real-small_dataset,baseline_2,0.4849414644237816,0.7878532233716077,,0.713466215512482,,0.8056639096504106,train,24.0
39,vmm26gvc,875,lllyasviel_openpose,brisque_best,0.4911790692568698,0.8284787459048951,,0.7560516666666666,,0.8414242366384798,train,25.0
